,equity,duration,credit,commodity,usd
SPY,0.9090909090909091,0.0,0.0,0.0,0.0
QQQ,1.0,0.0,0.0,0.0,0.0
IWM,1.0,0.0,0.0,0.0,0.0
EFA,0.8181818181818181,0.0,0.0,0.0,-0.3
EEM,0.9090909090909091,0.0,0.0,0.0,-0.3
VNQ,0.6363636363636362,0.0,0.0,0.0,0.0
SHY,0.0,0.06666666666666667,0.0,0.0,0.0
IEF,0.0,0.26666666666666666,0.0,0.0,0.0
TLT,0.0,1.0,0.0,0.0,0.0
TIP,0.0,0.4666666666666667,0.0,0.0,0.0
LQD,0.09090909090909091,0.5333333333333333,0.4,0.0,0.0
HYG,0.36363636363636365,0.2,1.0,0.0,0.0
GLD,0.0,0.0,0.0,0.19999999999999998,-0.3
SLV,0.0,0.0,0.0,0.3333333333333333,-0.3
DBC,0.0,0.0,0.0,0.6666666666666666,-0.3
USO,0.0,0.0,0.0,0.7999999999999999,-0.3
UNG,0.0,0.0,0.0,1.0,-0.3
DBA,0.0,0.0,0.0,0.5333333333333333,-0.3
UUP,0.0,0.0,0.0,0.0,1.0
